cond,metric,model,baseline,with_rt,delta,better,n,p
all,llc,M1_abs,-1.0039,-1.0408,-0.0368,23,49,0.3478
all,llc,M2_unc,-1.0039,-1.001,0.003,26,49,0.3792
all,llc,M3_sq,-1.0039,-0.9793,0.0247,26,49,0.2945
all,acc,M1_abs,0.6113,0.5945,-0.0168,9,49,0.0474
all,acc,M2_unc,0.6113,0.6024,-0.0089,20,49,0.8736
all,acc,M3_sq,0.6113,0.6079,-0.0034,18,49,0.8761
all,bacc,M1_abs,0.5948,0.5871,-0.0077,10,49,0.1301
all,bacc,M2_unc,0.5948,0.5878,-0.0069,21,49,0.9115
all,bacc,M3_sq,0.5948,0.5897,-0.005,19,49,0.8876
all,auc,M1_abs,0.5928,0.5886,-0.0041,21,49,0.4849
all,auc,M2_unc,0.5928,0.5848,-0.008,22,49,0.356
all,auc,M3_sq,0.5928,0.5907,-0.002,22,49,0.7152
reward,llc,M1_abs,-0.8965,-0.8849,0.0115,25,49,0.8592
reward,llc,M2_unc,-0.8965,-0.8258,0.0707,24,49,0.2722
reward,llc,M3_sq,-0.8965,-0.8877,0.0088,25,49,0.7599
reward,acc,M1_abs,0.6146,0.6119,-0.0027,8,49,0.4652
reward,acc,M2_unc,0.6146,0.6286,0.0141,17,49,0.2293
reward,acc,M3_sq,0.6146,0.6272,0.0126,15,49,0.0827
reward,bacc,M1_abs,0.5848,0.5967,0.012,11,49,0.5755
reward,bacc,M2_unc,0.5848,0.6095,0.0247,17,49,0.037
reward,bacc,M3_sq,0.5848,0.599,0.0143,14,49,0.1615
reward,auc,M1_abs,0.6371,0.6517,0.0145,19,48,0.9442
reward,auc,M2_unc,0.6371,0.6591,0.0219,20,48,0.5863
reward,auc,M3_sq,0.6371,0.6265,-0.0107,16,48,0.3134
loss,llc,M1_abs,-1.111,-1.1962,-0.0852,28,49,0.8669
loss,llc,M2_unc,-1.111,-1.1756,-0.0646,28,49,0.3901
loss,llc,M3_sq,-1.111,-1.0705,0.0405,27,49,0.3478
loss,acc,M1_abs,0.6081,0.5772,-0.0308,4,49,0.0394
loss,acc,M2_unc,0.6081,0.5762,-0.0318,6,49,0.0525
loss,acc,M3_sq,0.6081,0.5887,-0.0194,7,49,0.102
loss,bacc,M1_abs,0.5692,0.5462,-0.023,6,49,0.0615
loss,bacc,M2_unc,0.5692,0.5378,-0.0314,7,49,0.0854
loss,bacc,M3_sq,0.5692,0.551,-0.0182,7,49,0.0727
loss,auc,M1_abs,0.5922,0.5628,-0.0294,23,49,0.8979
loss,auc,M2_unc,0.5922,0.5417,-0.0505,20,49,0.4008
loss,auc,M3_sq,0.5922,0.5821,-0.0101,26,49,0.5227
