model,param,err_rt,err_choice,better,n,p
M1_abs,log_h_gain,0.2303,0.3485,126,200,0.0
M1_abs,log_h_loss,0.1961,0.2861,122,200,0.0
M1_abs,log_beta,0.1376,0.1361,111,200,0.0915
M1_abs,beta0,0.229,0.2518,111,200,0.0174
M2_unc,log_h_gain,0.2884,0.3485,109,200,0.029
M2_unc,log_h_loss,0.2329,0.2861,112,200,0.1635
M2_unc,log_beta,0.1182,0.1361,115,200,0.0157
M2_unc,beta0,0.2203,0.2518,101,200,0.1013
M3_sq,log_h_gain,0.1361,0.3485,148,200,0.0
M3_sq,log_h_loss,0.1247,0.2897,145,200,0.0
M3_sq,log_beta,0.1368,0.1426,109,200,0.0155
M3_sq,beta0,0.1827,0.2701,122,200,0.0
