model,param,r_rt,rmse_rt,r_choice,rmse_choice,Δr,rmse_ratio
M1_abs,beta0,0.954,0.371,0.94,0.427,0.014,0.869
M1_abs,log_beta,0.955,0.266,0.951,0.276,0.004,0.964
M1_abs,log_h_gain,0.925,0.569,0.899,0.66,0.026,0.862
M1_abs,log_h_loss,0.958,0.486,0.917,0.676,0.041,0.719
M2_unc,beta0,0.952,0.382,0.94,0.427,0.012,0.895
M2_unc,log_beta,0.958,0.253,0.951,0.276,0.007,0.917
M2_unc,log_h_gain,0.9,0.649,0.899,0.66,0.001,0.983
M2_unc,log_h_loss,0.936,0.598,0.917,0.677,0.019,0.883
M3_sq,beta0,0.963,0.326,0.94,0.429,0.023,0.76
M3_sq,log_beta,0.956,0.263,0.948,0.285,0.008,0.923
M3_sq,log_h_gain,0.977,0.319,0.894,0.678,0.083,0.471
M3_sq,log_h_loss,0.978,0.357,0.905,0.728,0.073,0.49
