model,param,r,rmse,bias,n
M1_abs,a,0.896,0.103,-0.034,200.0
M1_abs,b,0.915,0.146,0.015,200.0
M1_abs,beta0,0.967,0.303,-0.009,200.0
M1_abs,log_beta,0.934,0.304,0.0,200.0
M1_abs,log_h_gain,0.888,0.801,-0.182,200.0
M1_abs,log_h_loss,0.923,0.576,-0.043,200.0
M1_abs,log_sigma,0.922,0.094,0.028,200.0
M1_abs,tau,0.366,0.106,0.052,200.0
M2_unc,a,0.771,0.169,-0.013,200.0
M2_unc,b,0.857,0.2,0.034,200.0
M2_unc,beta0,0.968,0.301,-0.004,200.0
M2_unc,log_beta,0.927,0.322,0.004,200.0
M2_unc,log_h_gain,0.816,1.021,-0.276,200.0
M2_unc,log_h_loss,0.885,0.702,0.02,200.0
M2_unc,log_sigma,0.915,0.097,0.025,200.0
M2_unc,tau,0.401,0.104,0.049,200.0
M3_sq,a,0.937,0.083,-0.035,200.0
M3_sq,b,0.966,0.27,0.041,200.0
M3_sq,beta0,0.971,0.282,-0.007,200.0
M3_sq,log_beta,0.947,0.272,-0.002,200.0
M3_sq,log_h_gain,0.931,0.621,-0.111,200.0
M3_sq,log_h_loss,0.956,0.436,-0.035,200.0
M3_sq,log_sigma,0.938,0.086,0.028,200.0
M3_sq,tau,0.391,0.089,0.048,200.0
