model,param,r,rmse,bias,n
M1_abs,a,0.884,0.107,-0.036,200.0
M1_abs,b,0.897,0.184,0.028,200.0
M1_abs,beta0,0.954,0.371,-0.036,200.0
M1_abs,log_beta,0.955,0.266,0.041,200.0
M1_abs,log_h_gain,0.925,0.569,-0.063,200.0
M1_abs,log_h_loss,0.958,0.486,0.082,200.0
M1_abs,log_sigma,0.917,0.097,0.032,200.0
M1_abs,tau,0.187,0.11,0.055,200.0
M2_unc,a,0.825,0.145,-0.018,200.0
M2_unc,b,0.86,0.21,0.034,200.0
M2_unc,beta0,0.952,0.382,-0.04,200.0
M2_unc,log_beta,0.958,0.253,0.062,200.0
M2_unc,log_h_gain,0.9,0.649,-0.074,200.0
M2_unc,log_h_loss,0.936,0.598,0.118,200.0
M2_unc,log_sigma,0.914,0.098,0.028,200.0
M2_unc,tau,0.207,0.103,0.049,200.0
M3_sq,a,0.928,0.086,-0.035,200.0
M3_sq,b,0.978,0.238,0.048,200.0
M3_sq,beta0,0.963,0.326,-0.027,200.0
M3_sq,log_beta,0.956,0.263,0.027,200.0
M3_sq,log_h_gain,0.977,0.319,-0.03,200.0
M3_sq,log_h_loss,0.978,0.357,0.045,200.0
M3_sq,log_sigma,0.935,0.088,0.031,200.0
M3_sq,tau,0.287,0.089,0.048,200.0
