model,param,n,r,r_lo,r_hi,rho,icc
baseline,log_h_gain,49,0.18,-0.081,0.445,0.133,0.137
baseline,log_h_loss,49,0.191,-0.098,0.463,0.143,0.141
baseline,log_beta,49,0.215,-0.187,0.536,0.081,0.088
baseline,beta0,49,0.103,-0.236,0.468,0.129,0.071
M1_abs,log_h_gain,49,0.124,-0.143,0.398,0.141,0.099
M1_abs,log_h_loss,49,0.077,-0.277,0.42,0.046,0.065
M1_abs,log_beta,49,0.365,-0.101,0.687,0.184,0.189
M1_abs,beta0,49,-0.132,-0.486,0.271,-0.082,-0.091
M1_abs,a,49,0.754,0.57,0.885,0.724,0.608
M1_abs,b,49,0.07,-0.282,0.357,-0.003,0.07
M1_abs,log_sigma,49,0.66,0.39,0.806,0.441,0.646
M1_abs,tau,49,0.418,0.192,0.62,0.409,0.412
M2_unc,log_h_gain,49,0.229,-0.037,0.483,0.193,0.191
M2_unc,log_h_loss,49,-0.213,-0.475,0.068,-0.221,-0.164
M2_unc,log_beta,49,0.175,-0.093,0.436,0.188,0.072
M2_unc,beta0,49,-0.033,-0.355,0.298,0.007,-0.022
M2_unc,a,49,0.493,0.189,0.712,0.507,0.362
M2_unc,b,49,-0.068,-0.433,0.316,-0.037,-0.063
M2_unc,log_sigma,49,0.668,0.407,0.816,0.471,0.651
M2_unc,tau,49,0.392,0.161,0.597,0.393,0.387
M3_sq,log_h_gain,49,-0.023,-0.27,0.236,-0.095,-0.015
M3_sq,log_h_loss,49,0.03,-0.27,0.321,-0.025,0.023
M3_sq,log_beta,49,0.336,-0.089,0.655,0.178,0.166
M3_sq,beta0,49,0.132,-0.153,0.436,0.123,0.099
M3_sq,a,49,0.747,0.545,0.89,0.674,0.579
M3_sq,b,49,-0.002,-0.4,0.177,-0.039,-0.002
M3_sq,log_sigma,49,0.662,0.379,0.81,0.448,0.642
M3_sq,tau,49,0.407,0.172,0.614,0.413,0.401
